OwnerID,Gender,Ethnicity,Age,Income,Occupation,HairColor,CarMake,CarModel,CarAge,EngineSize,BodyStyle,CarCost,FuelType,DrivingStyle,IsModified,MileagePerYear,ServiceHistory
O215,Female,Hispanic,68,95559,Doctor,Bald,Honda,Fit,7,2.2,SUV,27200,Petrol,Moderate,Yes,22905,2
O216,Other,Asian,47,66571,Unemployed,Brown,Toyota,Camry,6,1.2,SUV,29800,Petrol,Moderate,No,24426,1
O217,Male,Other,59,81150,Lawyer,Blonde,Skoda,Octavia,16,3.0,SUV,15700,Diesel,Calm,Yes,29077,2
O218,Female,Other,20,149055,Student,Gray,Skoda,Fabia,11,1.2,Sedan,35100,Electric,Moderate,Yes,13230,0
O219,Male,Asian,21,69620,Student,Blonde,Hyundai,Sonata,12,1.2,Sedan,13700,Hybrid,Moderate,Yes,20520,4
O220,Female,Asian,52,198465,Engineer,Dyed,BMW,i3,1,3.0,Hatchback,37900,Hybrid,Calm,No,9346,4
O221,Male,White,30,194615,Artist,Gray,BMW,M3,2,3.0,Coupe,40100,Petrol,Moderate,Yes,12206,5
O222,Other,Mixed,46,88972,Artist,Red,Toyota,Corolla,11,1.4,Hatchback,18400,Hybrid,Moderate,Yes,17984,3
O223,Other,Asian,64,156688,Unemployed,Blonde,BMW,M3,9,1.0,SUV,24400,Petrol,Calm,Yes,12069,0
O224,Male,Black,18,47733,Manager,Black,Honda,Civic,16,1.6,Convertible,6800,Electric,Aggressive,Yes,7050,4
O225,Other,Asian,31,39951,Engineer,Blonde,BMW,320i,17,1.4,Sedan,6100,Petrol,Calm,No,27851,1
O226,Female,Black,41,58001,Doctor,Brown,Skoda,Superb,4,2.2,SUV,24400,Petrol,Moderate,No,17260,2
O227,Other,Asian,23,146878,Doctor,Brown,Honda,CR-V,13,1.4,Convertible,14200,Electric,Aggressive,Yes,13202,5
O228,Other,Other,69,143583,Student,Bald,BMW,M3,19,1.4,Hatchback,15700,Electric,Moderate,Yes,21220,5
O229,Female,Other,68,180229,Unemployed,Gray,Hyundai,Elantra,9,1.6,Coupe,22100,Diesel,Aggressive,No,12274,1
O230,Other,Mixed,20,160271,Doctor,Dyed,Toyota,Corolla,5,3.0,Convertible,30500,Electric,Moderate,Yes,20876,4
O231,Female,Mixed,64,81262,Lawyer,Red,Ford,Explorer,16,2.0,Coupe,21200,Hybrid,Moderate,No,18832,2
O232,Other,White,59,171497,Artist,Blonde,BMW,X5,16,1.6,Convertible,29500,Diesel,Calm,Yes,19551,2
O233,Other,Black,49,22906,Student,Red,Honda,Fit,5,4.0,Wagon,44800,Diesel,Aggressive,No,26260,4
O234,Other,White,31,98300,Engineer,Black,Toyota,Corolla,1,1.2,Wagon,36100,Hybrid,Moderate,No,22674,0
O235,Female,Other,20,58642,Manager,Bald,Toyota,Corolla,8,2.2,Coupe,28900,Petrol,Calm,Yes,22602,0
O236,Male,Black,28,65106,Doctor,Red,Ford,Fiesta,1,1.4,SUV,30800,Diesel,Moderate,No,12291,5
O237,Female,Mixed,25,167826,Engineer,Gray,Hyundai,Accent,4,1.2,Sedan,31200,Petrol,Calm,Yes,10295,1
O238,Male,Black,65,149092,Student,Blonde,BMW,i3,4,3.0,SUV,32200,Hybrid,Aggressive,Yes,26452,0
O239,Other,Other,67,140991,Teacher,Dyed,Honda,Civic,12,2.2,Convertible,28400,Hybrid,Moderate,Yes,19559,5
O240,Male,Mixed,57,176633,Manager,Dyed,Toyota,Corolla,7,1.0,Coupe,26700,Diesel,Aggressive,No,25314,4
O241,Male,Other,62,114616,Manager,Brown,Audi,A4,5,1.0,Wagon,25100,Diesel,Calm,Yes,25695,2
O242,Other,Hispanic,65,120228,Doctor,Brown,Hyundai,Elantra,10,1.6,Hatchback,25900,Hybrid,Aggressive,No,23988,0
O243,Other,Hispanic,59,101206,Developer,Gray,Honda,Fit,5,1.2,Convertible,25500,Electric,Calm,No,26179,4
O244,Female,Mixed,47,57534,Teacher,Red,Ford,Mustang,17,2.0,Coupe,12800,Diesel,Aggressive,No,23787,1
O245,Male,Hispanic,31,107124,Teacher,Dyed,Honda,CR-V,11,3.0,SUV,29100,Diesel,Moderate,No,5294,1
O246,Female,Mixed,66,143232,Student,Brown,Hyundai,Tucson,16,1.2,SUV,9000,Diesel,Calm,Yes,12009,3
O247,Other,Other,41,78852,Lawyer,Black,Audi,TT,2,1.0,Coupe,35900,Hybrid,Aggressive,No,6007,5
O248,Other,Asian,45,106357,Unemployed,Dyed,Ford,Mustang,4,3.0,Coupe,30800,Diesel,Moderate,Yes,10084,5
O249,Other,Asian,21,98807,Engineer,Brown,Toyota,Yaris,3,1.6,SUV,35600,Electric,Moderate,No,22649,3
O250,Other,Asian,39,78888,Student,Dyed,Skoda,Kodiaq,9,2.2,Sedan,20300,Hybrid,Aggressive,Yes,14077,0
O251,Male,White,39,35953,Manager,Bald,Honda,Fit,17,2.0,Sedan,14200,Hybrid,Aggressive,Yes,7353,5
O252,Male,Asian,29,72372,Lawyer,Red,Ford,Mustang,10,3.0,Sedan,27900,Diesel,Aggressive,Yes,16296,5
O253,Male,Mixed,64,108106,Doctor,Bald,Honda,CR-V,10,1.6,Hatchback,16000,Diesel,Aggressive,No,16801,1
O254,Female,Black,56,56846,Manager,Dyed,Skoda,Fabia,10,4.0,SUV,17000,Electric,Moderate,Yes,28411,1
O255,Male,Other,64,93797,Doctor,Red,Honda,CR-V,19,1.0,Convertible,11900,Petrol,Moderate,No,8093,2
O256,Other,Hispanic,38,185286,Lawyer,Red,Toyota,Camry,15,1.2,SUV,11700,Hybrid,Aggressive,No,25563,5
O257,Female,Black,36,178268,Lawyer,Black,Ford,Mustang,2,2.0,Hatchback,37800,Electric,Aggressive,Yes,10626,0
O258,Other,Mixed,51,148052,Teacher,Black,Skoda,Superb,2,2.0,SUV,27400,Diesel,Calm,No,24440,0
O259,Male,Other,41,41385,Lawyer,Blonde,Toyota,Camry,14,1.2,SUV,20100,Hybrid,Moderate,No,28019,2
O260,Male,Black,32,97970,Teacher,Bald,Honda,Fit,13,2.0,Convertible,23300,Hybrid,Aggressive,Yes,25017,3
O261,Male,Hispanic,24,97879,Artist,Bald,Ford,Fiesta,11,1.6,Sedan,30400,Petrol,Aggressive,No,13884,3
O262,Other,Mixed,37,49531,Manager,Blonde,Ford,Focus,8,1.6,Hatchback,32700,Hybrid,Moderate,No,10797,0
O263,Other,Hispanic,39,20109,Student,Dyed,Skoda,Octavia,1,4.0,Convertible,46800,Petrol,Aggressive,Yes,26847,2
O264,Other,White,35,98309,Teacher,Bald,Toyota,Yaris,14,1.0,Convertible,16100,Hybrid,Calm,No,13357,2
O265,Other,Other,62,187760,Teacher,Dyed,Audi,Q5,0,1.0,Hatchback,33300,Electric,Moderate,No,23427,5
O266,Other,White,68,61167,Lawyer,Gray,Skoda,Octavia,8,1.0,Convertible,26300,Hybrid,Calm,Yes,15640,3
O267,Male,Asian,63,184631,Teacher,Brown,BMW,i3,14,2.2,SUV,27900,Electric,Moderate,Yes,13783,5
O268,Other,Other,27,37431,Manager,Black,Ford,Fiesta,17,1.6,Convertible,20600,Diesel,Aggressive,No,29416,1
O269,Male,Mixed,50,173496,Student,Dyed,Honda,Fit,8,4.0,Hatchback,25000,Petrol,Calm,Yes,17236,5
O270,Male,Black,56,65861,Developer,Dyed,Toyota,Yaris,17,1.4,Coupe,14400,Petrol,Aggressive,No,8041,1
O271,Female,Asian,61,77768,Manager,Red,Skoda,Kodiaq,7,1.2,SUV,34500,Petrol,Aggressive,No,11090,4
O272,Other,Hispanic,25,117215,Artist,Red,Skoda,Kodiaq,17,2.0,Hatchback,18800,Hybrid,Calm,Yes,8389,3
O273,Male,Hispanic,64,39826,Teacher,Brown,Toyota,Yaris,6,4.0,Wagon,42800,Hybrid,Aggressive,No,5458,3
O274,Other,Hispanic,39,48662,Engineer,Bald,Audi,A4,2,2.2,Hatchback,38300,Hybrid,Aggressive,Yes,28678,0
O275,Other,Mixed,59,51877,Student,Dyed,Ford,Explorer,10,4.0,Convertible,36700,Hybrid,Calm,No,20313,5
O276,Male,White,42,94148,Developer,Blonde,Hyundai,Sonata,18,1.4,Coupe,20200,Electric,Moderate,Yes,25022,5
O277,Female,Asian,53,85316,Manager,Red,Hyundai,Elantra,7,1.2,Coupe,25300,Diesel,Aggressive,Yes,16894,4
O278,Female,Asian,35,120361,Lawyer,Dyed,Ford,Mustang,18,4.0,Sedan,30700,Diesel,Aggressive,Yes,5661,4
O279,Other,Other,49,17920,Unemployed,Red,Ford,Mustang,2,1.2,Convertible,27900,Electric,Moderate,Yes,19025,2
O280,Male,Mixed,32,176099,Engineer,Dyed,Toyota,Camry,16,1.0,Hatchback,17100,Hybrid,Aggressive,Yes,12005,4
O281,Other,Hispanic,48,74321,Doctor,Red,Audi,A4,19,1.2,Convertible,17800,Hybrid,Calm,No,20140,3
O282,Female,Mixed,41,129225,Engineer,Brown,Audi,TT,16,2.0,SUV,21800,Petrol,Moderate,No,20282,0
O283,Male,Hispanic,53,171921,Student,Dyed,Toyota,Camry,1,2.0,Convertible,24800,Diesel,Aggressive,No,27015,3
O284,Female,Hispanic,68,191313,Doctor,Brown,Honda,Fit,11,4.0,Sedan,24100,Hybrid,Aggressive,No,25098,4
O285,Male,Black,35,141503,Unemployed,Brown,Ford,Explorer,14,4.0,Coupe,21600,Petrol,Aggressive,No,29288,2
O286,Male,Asian,47,157633,Artist,Red,Hyundai,Accent,11,1.6,Hatchback,29100,Diesel,Aggressive,No,5525,5
O287,Other,Other,19,48142,Teacher,Black,BMW,M3,4,1.6,Coupe,24700,Diesel,Moderate,Yes,17197,4
O288,Male,White,64,113317,Manager,Brown,Audi,A3,6,2.2,Hatchback,27700,Petrol,Moderate,Yes,19296,3
O289,Male,Hispanic,19,60893,Teacher,Blonde,Ford,Fiesta,16,2.2,Convertible,27000,Electric,Moderate,Yes,29603,1
O290,Other,Hispanic,53,158660,Engineer,Dyed,Audi,A4,14,1.6,Sedan,26900,Electric,Moderate,No,11430,2
O291,Female,Black,27,59738,Developer,Red,Ford,Mustang,13,1.4,Coupe,29600,Petrol,Calm,No,15831,1
O292,Male,White,58,188312,Engineer,Dyed,Hyundai,Sonata,4,1.4,Sedan,25900,Electric,Calm,Yes,20635,2
O293,Female,Mixed,29,123856,Student,Red,Skoda,Octavia,19,1.0,Coupe,5000,Hybrid,Aggressive,No,14499,0
O294,Male,Mixed,29,107324,Doctor,Bald,Toyota,Camry,16,2.0,Coupe,24000,Hybrid,Aggressive,No,8568,3
O295,Female,Mixed,45,98310,Artist,Brown,Honda,Fit,14,2.0,Coupe,17400,Petrol,Calm,No,23309,3
O296,Female,White,31,96537,Artist,Blonde,BMW,320i,8,1.6,Coupe,25400,Electric,Moderate,Yes,19846,4
O297,Female,Hispanic,37,15281,Engineer,Gray,BMW,X5,0,2.2,Convertible,38100,Diesel,Calm,Yes,11262,2
O298,Other,Asian,22,175928,Unemployed,Dyed,BMW,320i,16,2.0,Sedan,17600,Petrol,Calm,Yes,6229,3
O299,Male,White,59,187307,Student,Dyed,Audi,TT,17,4.0,Convertible,25600,Petrol,Calm,No,6239,2
O300,Female,Hispanic,48,71503,Doctor,Dyed,Hyundai,Accent,14,1.4,SUV,20500,Electric,Aggressive,Yes,11570,1
